publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2026-02-09/2026-02-15,Simon Harris,1,1,0.955,61457,0.667
2026-02-09/2026-02-15,Sinn Féin,15,8,11.569,1215710,0.044
2026-02-09/2026-02-15,Triple Lock,1,1,0.741,53345,-0.386
2026-02-09/2026-02-15,US military,1,1,0.235,0,-0.889
2026-02-09/2026-02-15,Ukraine,19,11,15.379,2635156,0.035
2026-02-09/2026-02-15,United States,2,2,0.974,314000,-0.444
2026-02-09/2026-02-15,Volodymyr Zelenskiy,1,1,0.955,61457,0.667
2026-02-16/2026-02-22,Cabinet,1,1,0.862,60857,-0.941
2026-02-16/2026-02-22,Defence Forces,5,4,4.447,575962,-0.256
2026-02-16/2026-02-22,Donald Trump,8,4,5.956,470509,-0.062
2026-02-16/2026-02-22,Dáil,9,5,6.82,535289,-0.195
2026-02-16/2026-02-22,Fianna Fáil,7,3,5.213,415017,-0.122
2026-02-16/2026-02-22,Fine Gael,1,1,0.747,62422,-0.857
2026-02-16/2026-02-22,Gaza,9,4,7.153,802134,0.0
2026-02-16/2026-02-22,Government,15,11,12.013,1684750,-0.175
2026-02-16/2026-02-22,Helen McEntee,3,2,2.934,449539,0.0
2026-02-16/2026-02-22,Israel,4,3,3.147,152658,0.0
2026-02-16/2026-02-22,Mary Lou McDonald,9,4,7.113,544501,0.0
2026-02-16/2026-02-22,Micheál Martin,8,3,6.121,392367,0.0
2026-02-16/2026-02-22,NATO,6,6,5.044,1874755,-0.192
2026-02-16/2026-02-22,Palestine,6,2,4.467,352595,0.0
2026-02-16/2026-02-22,Russia,15,9,12.617,1527331,0.044
2026-02-16/2026-02-22,Simon Harris,1,1,0.745,59415,0.0
2026-02-16/2026-02-22,Sinn Féin,8,3,6.121,392367,0.0
2026-02-16/2026-02-22,Triple Lock,2,2,1.606,119356,-0.72
2026-02-16/2026-02-22,UN,3,3,2.353,182694,-0.584
2026-02-16/2026-02-22,UN Security Council,1,1,0.862,60857,-0.941
2026-02-16/2026-02-22,US military,2,1,1.902,39772,0.0
2026-02-16/2026-02-22,Ukraine,12,8,9.799,1761787,0.034
2026-02-16/2026-02-22,United States,3,3,2.236,181252,-0.271
2026-02-23/2026-03-01,Cabinet,1,1,0.906,61457,-0.05
2026-02-23/2026-03-01,Defence Forces,4,4,3.64,721224,-0.138
2026-02-23/2026-03-01,Donald Trump,2,2,1.653,125025,-0.025
2026-02-23/2026-03-01,Dáil,3,3,2.473,184591,-0.183
2026-02-23/2026-03-01,EU,1,1,0.906,61457,-0.05
2026-02-23/2026-03-01,Fianna Fáil,2,2,1.567,123134,-0.25
2026-02-23/2026-03-01,Fine Gael,2,2,1.567,123134,-0.25
2026-02-23/2026-03-01,Gaza,5,5,3.955,308217,-0.188
2026-02-23/2026-03-01,Government,12,12,10.103,2467116,-0.236
2026-02-23/2026-03-01,Helen McEntee,1,1,0.906,61457,-0.05
2026-02-23/2026-03-01,Israel,3,3,2.314,185992,-0.314
2026-02-23/2026-03-01,Labour Party,1,1,0.746,61567,-0.5
