Outlet,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,avg_sentiment,top_cluster,top_frame,top_tier,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,impact_score,share_of_voice,entity_type,stance_label,narrative_role,actor_type,entity_group
LMFM,10,1,7.873335823516739,550000,-0.0617,-0.03,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,LMFM - Neutrality,,0.25,0.0,0.2120632164424346,0.0356613540758788,12.6,0.0133772357326408,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Kerryman,8,4,7.277787759335341,159088,-0.41875,0.04375,"NATO, EU security and defence cooperation #2",Shannon / US Military / Anti-war,Top,It’s time for Irish people to push back against war on neutrality,,0.1944444444444444,0.0833333333333333,0.195529007819721,0.0103150790858607,12.1,0.0123653664280347,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Sunday Independent (Ireland),6,6,5.629980050073941,912804,0.082,0.1083333333333333,Ukraine war and moral neutrality,Other Neutrality Debate,Top,We have an opportunity to end EU veto and we must grasp it,,0.1388888888888889,0.1388888888888889,0.1497809010359414,0.0591851393561426,12.1,0.0095656494258699,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Echo Live,7,7,5.272217818620509,389431,-0.1511428571428571,-0.0499999999999999,Defence capability and security gaps,Defence Capability / Underinvestment,Mid,Tom MacSweeney column: Recognition for those who saved German sub crew,https://echolive.ie/corknews/arid-41836028.html,0.1666666666666666,0.1666666666666666,0.1398483435683768,0.0252502486893155,11.7,0.0089577914843741,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Westmeath Examiner,7,7,5.214175199776697,415905,0.1028571428571428,-0.0928571428571428,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,"LIVE: Fuel Protests, as it happens | Westmeath Examiner",https://www.westmeathexaminer.ie/2026/04/09/live-fuel-protests-as-it-happens,0.1666666666666666,0.1666666666666666,0.1382369055893258,0.0269667917580515,11.7,0.0088591738447588,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Morning Ireland,6,1,4.6701171562244745,2796000,-0.2083333333333333,0.325,Shannon Airport and US military use,Other Neutrality Debate,Bottom,Morning Ireland - Neutrality,,0.1388888888888889,0.0,0.1231322150765246,0.1812893563566493,11.7,0.0079347889507348,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Meath Chronicle,7,7,5.216538015225368,419734,0.0975714285714285,-0.0928571428571428,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,Trim launch for historical novel by Skryne author | Meath Chronicle,https://www.meathchronicle.ie/2026/04/10/trim-launch-for-historical-novel-by-skryne-author,0.1666666666666666,0.1666666666666666,0.1383025044652435,0.0272150596212452,11.7,0.008863188399702,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
C103,8,1,6.511611069619835,1120000,-0.492625,0.2875,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,C103 - Neutrality,,0.1944444444444444,0.0,0.1742576344553745,0.0726194846636077,11.4,0.0110635895927871,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Today FM,6,1,5.7538081485170425,1548000,-0.422,0.1083333333333333,Sinn Féin and government neutrality clash,Other Neutrality Debate,Top,Today FM - Neutrality,,0.1388888888888889,0.0,0.1532187421375264,0.1003705020172007,10.6,0.0097760402564313,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Roscommon Herald,6,6,4.6558463198538815,356610,-0.1208333333333333,-0.3833333333333333,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Mid,"Irish neutrality should be put to a public vote, say Sinn Féin",https://roscommonindependent.ie/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html,0.1388888888888889,0.1388888888888889,0.1227360136614527,0.0231221735945438,10.0,0.0079105420055376,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
